RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Jacob Volkmann,Ronys Torres,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Red,190.0,-230.0,190.0,43.4783,2,0,0,14.5,0.39,0.5,0.5,0.125,0,2,4,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,155,1,0,0,6.0,0.12,1.0,5.0,0.38,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,180.3,155,7.0,9.0,6.0,10.0,1,0,1.0
Matt Hughes,Renzo Gracie,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Welterweight,MALE,3,0,Red,-380.0,340.0,26.3158,340.0,0,1,0,21.0476,0.552,0.7143,2.2381,0.58,6,5,45,12,0,0,5,5,4,2,16,Switch,175.26,185.42,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,185,7.0,9.0,6.0,10.0,2,0,1.0
Anderson Silva,Demian Maia,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Middleweight,MALE,5,1,Red,-675.0,550.0,14.8148,550.0,0,10,0,30.2,0.77,0.3,0.2,0.2,10,0,19,6,0,0,1,7,2,0,10,Southpaw,187.96,195.58,185,0,1,0,12.2857,0.491,1.2857,1.5714,0.42,5,1,12,0,0,0,1,0,5,0,6,Southpaw,185.42,182.88,170,7.0,9.0,6.0,10.0,1,1,1.0
Bj Penn,Frankie Edgar,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Lightweight,MALE,5,1,Blue,-780.0,620.0,12.8205,620.0,0,2,0,38.75,0.624,0.6875,1.3125,0.416,3,5,45,9,0,0,1,5,4,1,11,Orthodox,175.26,177.8,155,0,3,0,46.0,0.483,0.2857,4.0,0.347,3,1,18,0,0,0,4,1,1,0,6,Orthodox,167.64,172.72,145,7.0,9.0,6.0,10.0,0,0,0.0
Terry Etim,Rafael Dos Anjos,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Lightweight,MALE,3,0,Blue,-135.0,125.0,74.0741,125.0,0,4,0,25.4286,0.437,1.1429,0.1429,0.143,4,2,16,0,0,0,1,1,3,0,5,Orthodox,185.42,185.42,155,0,2,0,32.25,0.343,1.75,2.75,0.36,2,2,12,0,0,0,2,0,0,0,2,Southpaw,172.72,177.8,170,7.0,9.0,6.0,10.0,0,1,0.0
Jon Madsen,Mostapha Al-Turk,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Heavyweight,MALE,3,0,Red,-245.0,205.0,40.8163,205.0,0,1,0,26.0,0.26,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,182.88,182.88,240,2,0,0,5.5,0.36,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,Orthodox,187.96,195.58,245,7.0,9.0,6.0,10.0,0,0,1.0
Alexander Gustafsson,Phil Davis,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Light Heavyweight,MALE,3,0,Blue,350.0,-440.0,350.0,22.7273,0,1,0,6.0,0.26,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,195.58,200.66,205,0,1,0,48.0,0.46,1.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,200.66,205,7.0,9.0,6.0,10.0,0,0,0.0
Nick Osipczak,Rick Story,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Welterweight,MALE,3,0,Blue,145.0,-165.0,145.0,60.6061,0,2,0,30.0,0.455,1.0,0.5,0.5,2,0,4,0,0,0,0,1,1,0,2,Orthodox,187.96,193.04,170,0,2,0,28.6667,0.293,2.3333,3.0,0.803,2,1,8,0,0,1,0,0,1,0,2,Southpaw,175.26,180.34,170,7.0,9.0,6.0,10.0,0,1,0.0
Damarques Johnson,Brad Blackburn,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Welterweight,MALE,3,0,Red,140.0,-160.0,140.0,62.5,0,1,0,11.5,0.44,0.5,0.0,0.0,1,1,2,1,0,0,0,0,1,0,1,Orthodox,185.42,190.5,170,1,0,0,58.75,0.375,0.25,0.0,0.0,3,1,11,0,0,1,1,1,0,0,3,Orthodox,177.8,185.42,170,7.0,9.0,6.0,10.0,0,0,1.0
Paul Kelly,Matt Veach,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Lightweight,MALE,3,0,Red,220.0,-260.0,220.0,38.4615,1,0,0,37.6,0.298,0.6,1.6,0.732,2,2,13,0,0,0,3,0,0,0,3,Orthodox,175.26,177.8,155,1,0,0,9.5,0.285,0.0,2.0,0.33,1,1,3,0,0,0,0,1,0,0,1,Orthodox,180.34,176.53,155,7.0,9.0,6.0,10.0,0,0,1.0
Kendall Grove,Mark Munoz,2010-04-10,"Abu Dhabi, United Arab Emirates", United Arab Emirates,Middleweight,MALE,3,0,Blue,160.0,-170.0,160.0,58.8235,0,1,0,20.8889,0.434,1.4444,0.3333,0.333,3,3,16,1,0,1,1,2,2,0,6,Orthodox,198.12,200.66,185,0,2,0,27.6667,0.483,0.6667,1.0,0.387,2,1,5,0,0,1,0,1,0,0,2,Orthodox,182.88,182.88,185,7.0,9.0,6.0,10.0,0,0,0.0
Lyoto Machida,Mauricio Rua,2010-05-08,"Montreal, Quebec, Canada", Canada,Light Heavyweight,MALE,5,1,Blue,-190.0,175.0,52.6316,175.0,0,8,0,43.5,0.59,0.875,1.125,0.415,8,0,22,2,0,0,5,2,1,0,8,Southpaw,185.42,187.96,185,1,0,0,48.25,0.563,0.5,1.5,0.228,2,2,12,1,0,0,0,2,0,0,2,Orthodox,185.42,193.04,205,7.0,9.0,6.0,10.0,1,0,0.0
Josh Koscheck,Paul Daley,2010-05-08,"Montreal, Quebec, Canada", Canada,Welterweight,MALE,3,0,Red,-250.0,230.0,40.0,230.0,0,2,0,17.6875,0.402,0.375,1.8125,0.541,5,4,32,0,0,0,4,5,3,0,12,Orthodox,177.8,185.42,170,0,2,0,17.5,0.41,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,175.26,193.04,170,7.0,9.0,6.0,10.0,0,0,1.0
Sam Stout,Jeremy Stephens,2010-05-08,"Montreal, Quebec, Canada", Canada,Lightweight,MALE,3,0,Blue,-190.0,175.0,52.6316,175.0,0,2,0,53.75,0.248,0.0,0.125,0.125,2,4,22,0,0,1,3,0,0,0,4,Orthodox,175.26,177.8,155,0,1,0,24.75,0.464,0.375,0.75,0.438,2,4,19,0,0,0,1,2,0,1,4,Orthodox,172.72,180.34,145,7.0,9.0,6.0,10.0,0,0,0.0
Kevin Ferguson,Matt Mitrione,2010-05-08,"Montreal, Quebec, Canada", Canada,Heavyweight,MALE,3,0,Blue,-103.0,-107.0,97.0874,93.4579,0,1,0,27.0,0.4,1.0,4.0,1.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,195.58,235,0,1,0,14.0,0.41,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Switch,190.5,200.66,265,7.0,9.0,6.0,10.0,0,2,0.0
Patrick Cote,Alan Belcher,2010-05-08,"Montreal, Quebec, Canada", Canada,Middleweight,MALE,3,0,Blue,107.0,-117.0,107.0,85.4701,1,0,0,22.0,0.428,0.1111,0.2222,0.092,4,5,21,2,0,1,1,2,0,0,4,Orthodox,180.34,180.34,170,0,1,0,26.5,0.384,0.4,0.3,0.164,2,4,21,0,0,1,0,2,2,1,6,Orthodox,187.96,185.42,185,7.0,9.0,6.0,10.0,0,0,0.0
Tom Lawlor,Joe Doerksen,2010-05-08,"Montreal, Quebec, Canada", Canada,Middleweight,MALE,3,0,Blue,-600.0,450.0,16.6667,450.0,1,0,0,22.0,0.343,1.0,2.6667,0.173,2,1,7,0,0,0,1,0,1,0,2,Southpaw,182.88,187.96,205,4,0,0,10.3333,0.533,1.8333,2.0,0.465,1,5,16,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,185,7.0,9.0,6.0,10.0,1,0,0.0
